"","CPE","Q1-Q3","IQR","N"
"LGG","0.9104","0.843675-0.9595","0.115825","520"
"PRAD","0.89655","0.83415-0.945975","0.111825","498"
"OV","0.8806","0.8136-0.9291","0.1155","579"
"THCA","0.8733","0.8028-0.9253","0.1225","503"
"GBM","0.8512","0.7888-0.9247","0.1359","605"
"UCEC","0.8435","0.76955-0.89705","0.1275","551"
"COAD","0.7805","0.7034-0.8411","0.1377","469"
"SKCM","0.76695","0.63495-0.839425","0.204475","470"
"BRCA","0.7466","0.656-0.8253","0.1693","1096"
"BLCA","0.7463","0.65695-0.82915","0.1722","411"
"HNSC","0.6911","0.6126-0.77015","0.15755","528"
"LUSC","0.68445","0.589325-0.7887","0.199375","504"
"KIRC","0.6749","0.56845-0.7508","0.18235","539"
"LUAD","0.63955","0.5407-0.72495","0.18425","530"
